Sales_ID;name;year;selling_price;km_driven;Region;State or Province;City;fuel;seller_type;transmission;owner;mileage;engine;max_power;torque;seats;sold
5715;Maruti;1997;3000;80000;Central;Michigan;Dearborn Heights;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
2146;Maruti;2001;3000;10000;Central;Texas;The Woodlands;Petrol;Individual;Manual;First_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
5966;Maruti;2000;3100;56194;Central;Michigan;Lincoln Park;Petrol;Individual;Manual;Fourth_Above_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
1927;Maruti;2004;3150;110000;South;Florida;Ocoee;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
4812;Maruti;2004;3335;90000;East;Massachusetts;Gloucester;Petrol;Individual;Manual;Third_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;N
1253;Maruti;2003;3500;35000;West;Oregon;Troutdale;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
2257;Maruti;2007;3500;10000;East;Massachusetts;Wilbraham;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
8026;Maruti;1998;3500;40000;South;North Carolina;Garner;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
2819;Maruti;2001;3900;42108;Central;Texas;Corsicana;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
178;Maruti;1999;4000;40000;East;District of Columbia;Washington;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
902;Maruti;2002;4000;80000;West;California;Los Angeles;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
4109;Maruti;1996;4000;32000;West;Idaho;Twin Falls;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
4814;Maruti;2004;4000;120000;East;Vermont;Essex Junction;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
4931;Maruti;2002;4000;80000;Central;Illinois;Plainfield;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
5463;Maruti;2005;4000;96000;Central;Michigan;Royal Oak;Petrol;Individual;Manual;Fourth_Above_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6321;Maruti;1998;4000;70000;East;Massachusetts;Chicopee;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6396;Maruti;2004;4000;57000;South;Tennessee;Knoxville;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6522;Maruti;1999;4000;50000;Central;Wisconsin;Green Bay;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
7936;Maruti;1999;4000;100000;East;Massachusetts;Waltham;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
8116;Maruti;1997;4000;120000;South;North Carolina;Mooresville;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
4619;Maruti;2003;4200;62000;South;Florida;Fort Myers;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6934;Maruti;1996;4200;70000;South;South Carolina;Florence;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
8;Maruti;2001;4500;5000;West;California;Los Angeles;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
710;Tata;2011;4500;10000;West;California;Los Angeles;Petrol;Individual;Manual;Third_Owner;26;624;35;48Nm@ 3000rpm;4;Y
1475;Maruti;1994;4500;60000;East;Massachusetts;Braintree;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
1503;Maruti;2004;4500;77000;Central;Iowa;West Des Moines;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
1776;Maruti;2000;4500;50000;East;Pennsylvania;Mount Lebanon;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
1853;Maruti;2003;4500;35000;Central;Illinois;Hanover Park;Petrol;Individual;Manual;Fourth_Above_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
2432;Chevrolet;2008;4500;70000;West;Arizona;Tempe;Petrol;Individual;Manual;First_Owner;18;995;62;90.3Nm@ 4200rpm;5;N
3047;Maruti;1998;4500;80000;East;Ohio;Huber Heights;Petrol;Individual;Manual;Fourth_Above_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
4034;Daewoo;2001;4500;137000;South;Florida;North Miami Beach;Petrol;Individual;Manual;First_Owner;18,5;796;53;71Nm@ 3500rpm;5;N
5450;Maruti;2007;4500;80000;South;Florida;Palm Coast;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
5467;Maruti;2003;4500;90000;Central;Michigan;Saginaw;Petrol;Individual;Manual;Fourth_Above_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
5747;Maruti;2001;4500;60000;West;Utah;Salt Lake City;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6162;Maruti;2003;4500;58000;West;Nevada;Pahrump;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6388;Maruti;1999;4500;100000;South;Florida;Boynton Beach;Petrol;Individual;Manual;Third_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
6615;Tata;2009;4500;100000;South;Arkansas;West Memphis;Diesel;Individual;Manual;Second_Owner;17,2;1396;53,5;8.5@ 2,500(kgm@ rpm);5;N
6629;Maruti;2007;4500;73257;South;Florida;Coconut Creek;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6739;Tata;2010;4500;30400;Central;Kansas;Shawnee;Petrol;Individual;Manual;Fourth_Above_Owner;26;624;35;48@ 3,000+/-500(NM@ rpm);4;N
7064;Maruti;2002;4500;70000;Central;Texas;Channelview;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
7355;Tata;2008;4500;60000;East;Massachusetts;Worcester;Diesel;Individual;Manual;Second_Owner;16,8;1405;68;13@ 2,500(kgm@ rpm);5;N
7660;Maruti;2005;4500;55425;West;Washington;Wenatchee;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
7834;Tata;2012;4500;28000;West;California;Rancho Cucamonga;Petrol;Individual;Manual;Second_Owner;25,4;624;37,5;51Nm@ 4000+/-500rpm;4;N
7959;Maruti;2000;4596;90000;South;Virginia;Hampton;Petrol;Individual;Manual;Second_Owner;19,7;796;46,3;62Nm@ 3000rpm;5;N
7983;Maruti;2000;4596;90000;West;California;Redondo Beach;Petrol;Individual;Manual;Second_Owner;19,7;796;46,3;62Nm@ 3000rpm;5;N
8090;Tata;2011;4600;25000;West;Washington;Yakima;Petrol;Individual;Manual;Second_Owner;26;624;35;48Nm@ 3000rpm;4;N
2056;Maruti;2003;5000;147000;Central;Illinois;Kankakee;Petrol;Individual;Manual;Fourth_Above_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;Y
2341;Maruti;1999;5000;60000;South;Virginia;Charlottesville;Petrol;Individual;Manual;Fourth_Above_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
2413;Maruti;2005;5000;90000;West;Arizona;Yuma;Petrol;Individual;Manual;Second_Owner;15,4;1590;94;130Nm@ 3000rpm;5;N
4161;Maruti;2002;5000;62000;South;Florida;Riviera Beach;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
4876;Honda;2004;5000;62000;West;California;Anaheim;Petrol;Individual;Manual;Second_Owner;13;1343;90;11.3kgm@ 4700rpm;5;N
5143;Maruti;2004;5000;18000;East;Maine;Auburn;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
5412;Maruti;1997;5000;110000;West;Washington;Lynnwood;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
5682;Maruti;2000;5000;180000;East;Vermont;Rutland;Petrol;Individual;Manual;Fourth_Above_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
5712;Tata;2007;5000;80000;Central;Michigan;East Lansing;Diesel;Individual;Manual;Third_Owner;17,2;1396;53,5;8.5@ 2,500(kgm@ rpm);5;N
5871;Tata;2008;5000;120000;South;Florida;Port Charlotte;Diesel;Individual;Manual;Third_Owner;17,5;1396;70;14.3@ 1,800-3,000(kgm@ rpm);5;N
6064;Maruti;2004;5000;50000;West;California;Petaluma;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6165;Maruti;1997;5000;120000;West;Nevada;North Las Vegas;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6432;Maruti;2003;5000;50000;Central;Texas;Bedford;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6727;Maruti;2006;5000;40000;East;Maine;Auburn;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6783;Tata;2004;5000;271000;West;California;Berkeley;Diesel;Individual;Manual;First_Owner;16,8;1405;62;12.5@ 2,500(kgm@ rpm);5;N
7219;Maruti;1997;5000;60000;Central;Missouri;Hazelwood;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
1469;Maruti;1999;5200;100000;Central;Kansas;Kansas City;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
6008;Maruti;2007;5400;144000;East;Maryland;Essex;LPG;Individual;Manual;Second_Owner;10,9;796;32,8;57Nm@ 2500rpm;5;N
1000;Maruti;1999;5500;60000;Central;Michigan;Detroit;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
1235;Tata;2004;5500;90000;East;New York;Troy;Diesel;Individual;Manual;Third_Owner;16,8;1405;62;12.5@ 2,500(kgm@ rpm);5;Y
1268;Tata;2010;5500;50000;South;Florida;Tampa;Petrol;Individual;Manual;Third_Owner;26;624;35;48@ 3,000+/-500(NM@ rpm);4;Y
2010;Maruti;2004;5500;50000;South;Florida;Port Charlotte;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
2610;Maruti;2003;5500;167000;Central;Michigan;Trenton;Petrol;Individual;Manual;Second_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;N
3495;Hyundai;2002;5500;120000;Central;Oklahoma;Owasso;Petrol;Individual;Manual;Fourth_Above_Owner;13,2;1495;94;12.5@ 3,500(kgm@ rpm);5;N
3891;Maruti;1995;5500;70000;Central;Minnesota;Eden Prairie;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
5008;Honda;2005;5500;130000;West;California;Twentynine Palms;Petrol;Individual;Manual;First_Owner;13;1343;90;11.3kgm@ 4700rpm;5;N
5019;Maruti;2002;5500;100000;Central;Michigan;Flint;Petrol;Individual;Manual;Second_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
5978;Maruti;2007;5500;70000;South;Alabama;Homewood;Petrol;Individual;Manual;Third_Owner;15,9;1298;85;110Nm@ 4500rpm;5;N
6226;Maruti;2005;5500;39000;West;California;Redondo Beach;Petrol;Individual;Manual;First_Owner;19,7;796;46,3;62Nm@ 3000rpm;5;N
6437;Maruti;1998;5500;50000;Central;Texas;Beaumont;Petrol;Individual;Manual;Second_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
6933;Tata;2007;5500;75958;West;California;Granite Bay;Diesel;Individual;Manual;Second_Owner;17,88;1396;52,8;85Nm@ 2500rpm;5;N
7356;Ford;2006;5500;201000;West;California;Tracy;Diesel;Individual;Manual;First_Owner;17,8;1399;68;16.3@ 2,000(kgm@ rpm);5;N
3596;Maruti;2003;5560;36088;Central;Missouri;Columbia;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
3682;Maruti;2003;5560;36088;East;Ohio;North Royalton;Petrol;Individual;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
3921;Maruti;2003;5800;170000;West;California;Long Beach;Petrol;Individual;Manual;Third_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
7766;Maruti;1998;5800;80000;Central;Texas;Texarkana;Petrol;Individual;Manual;Third_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
5805;Hyundai;2003;5900;70000;South;Florida;Lakeland;Petrol;Individual;Manual;Second_Owner;13,2;1495;94;12.5@ 3,500(kgm@ rpm);5;N
7233;Tata;2007;5926;104000;West;California;Palo Alto;Diesel;Individual;Manual;Second_Owner;17,2;1396;53,5;8.5@ 2,500(kgm@ rpm);5;N
334;Maruti;2002;6000;100000;West;California;San Diego;Petrol;Individual;Manual;Fourth_Above_Owner;17,3;993;60;78Nm@ 4500rpm;5;Y
1289;Maruti;2004;6000;113000;Central;Wisconsin;Watertown;Petrol;Individual;Manual;Second_Owner;19,7;796;46,3;62Nm@ 3000rpm;5;Y
1807;Maruti;2007;6000;62000;Central;Illinois;West Chicago;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
2168;Maruti;2005;6000;90000;West;California;San Francisco;Petrol;Individual;Manual;Second_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
2314;Maruti;2005;6000;70000;East;Pennsylvania;Scranton;Petrol;Individual;Manual;Second_Owner;17,3;993;60;78Nm@ 4500rpm;5;N
2425;Maruti;1997;6000;25000;West;Arizona;Tempe;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
2460;Maruti;2002;6000;52365;Central;Illinois;Mundelein;Petrol;Dealer;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
2785;Maruti;2008;6000;80000;West;California;Roseville;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
2887;Maruti;2000;6000;100000;West;California;Morgan Hill;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
3943;Tata;2012;6000;40000;West;California;Sacramento;Petrol;Individual;Manual;Second_Owner;25,4;624;38;51Nm@ 4000+/-500rpm;4;N
4149;Chevrolet;2009;6000;110000;South;North Carolina;Raleigh;Petrol;Individual;Manual;Third_Owner;16,5;995;63;90.3Nm@ 4200rpm;5;N
4912;Maruti;2010;6000;100000;West;Nevada;Carson City;Petrol;Individual;Manual;Fourth_Above_Owner;14;796;37,5;6@ 2,500(kgm@ rpm);5;N
5217;Tata;2012;6000;45000;South;Arkansas;Rogers;Petrol;Individual;Manual;First_Owner;25,4;624;38;51Nm@ 4000+/-500rpm;4;N
6613;Maruti;2007;6000;100000;South;Arkansas;West Memphis;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6818;Tata;2012;6000;90000;Central;Missouri;University City;Petrol;Individual;Manual;First_Owner;25,4;624;37,48;51Nm@ 4000+/-500rpm;4;N
8018;Tata;2008;6000;120000;Central;Texas;Coppell;Diesel;Individual;Manual;Fourth_Above_Owner;17,88;1396;52,8;85Nm@ 2500rpm;5;N
364;Tata;2012;6400;18000;Central;Illinois;Chicago;Petrol;Dealer;Manual;First_Owner;25,4;624;37,5;51Nm@ 4000rpm;4;Y
196;Hyundai;2005;6500;86000;South;Georgia;Atlanta;Petrol;Individual;Manual;First_Owner;15,3;1341;83;115Nm@ 3200rpm;5;Y
329;Maruti;2003;6500;60000;Central;Illinois;Chicago;Petrol;Individual;Manual;Fourth_Above_Owner;17,3;993;60;78Nm@ 4500rpm;5;Y
366;Maruti;2005;6500;35000;West;California;Los Angeles;Petrol;Individual;Manual;First_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;Y
976;Hyundai;2005;6500;85000;Central;Illinois;Chicago;Petrol;Individual;Manual;First_Owner;15,3;1341;83;115Nm@ 3200rpm;5;Y
1891;Maruti;2003;6500;90000;Central;Indiana;Lawrence;Petrol;Individual;Manual;Fourth_Above_Owner;16,1;796;37;59Nm@ 2500rpm;4;Y
2050;Maruti;2002;6500;80000;South;Tennessee;Germantown;Petrol;Individual;Manual;Second_Owner;17,3;993;60;78Nm@ 4500rpm;5;Y
2453;Tata;2010;6500;26432;Central;Illinois;Normal;Petrol;Dealer;Manual;First_Owner;25,4;624;37,48;51Nm@ 4000+/-500rpm;4;N
2459;Maruti;2004;6500;56432;Central;Illinois;Normal;Petrol;Dealer;Manual;First_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
2480;Chevrolet;2007;6500;30000;South;Alabama;Birmingham;Petrol;Individual;Manual;Second_Owner;14,7;1150;76;11.2@ 4,400(kgm@ rpm);5;N
3753;Maruti;2008;6500;40000;West;Arizona;Bullhead City;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
3808;Maruti;2005;6500;35000;West;Arizona;Peoria;Petrol;Individual;Manual;First_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;N
4014;Maruti;2003;6500;70000;South;North Carolina;Jacksonville;Petrol;Individual;Manual;Fourth_Above_Owner;18,9;998;67,1;90Nm@ 3500rpm;5;N
4129;Tata;2008;6500;50000;West;California;Santa Maria;Petrol;Individual;Manual;Second_Owner;15,3;1396;70;12.4@ 2,600(kgm@ rpm);5;N
4893;Chevrolet;2008;6500;100000;Central;Illinois;Skokie;Petrol;Individual;Manual;Third_Owner;18;995;62;90.3Nm@ 4200rpm;5;N
4986;Chevrolet;2008;6500;100000;East;Massachusetts;Canton;Petrol;Individual;Manual;Third_Owner;18;995;62;90.3Nm@ 4200rpm;5;N
5135;Maruti;2008;6500;10000;East;Pennsylvania;Wilkinsburg;Petrol;Individual;Manual;Second_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
5740;Maruti;2006;6500;100000;Central;Texas;Hurst;Petrol;Individual;Manual;Second_Owner;19,7;796;46,3;62Nm@ 3000rpm;5;N
5993;Maruti;2000;6500;100000;Central;Texas;Dallas;Petrol;Individual;Manual;Third_Owner;16,1;796;37;59Nm@ 2500rpm;4;N
6417;Maruti;2003;6500;114000;Central;Texas;Baytown;Petrol;Individual;Manual;First_Owner;19,7;796;46,3;62Nm@ 3000rpm;5;N
